Width,Depth,w_h,d50,H,L,U,D_d50,ws,KD,Lsat_D,Lsat_d50,Lsat_b_D,Th,Thc,DelTh,ust,P,Ret,Lsat_b,Lsat_s
2.44,0.2,12.2,0.00045,0.125,2.01,0.78,444.4444444,0.063899546,0.625192568,5.984595821,32.22756875,0.07251203,0.227965186,0.032620478,0.195344707,0.040728229,3.922313037,18.32770326,0.014502406,1.196919164
0.76,0.12,6.3,0.00054,0.066,1.2,0.49,222.2222222,0.076421583,0.628318531,3.130929558,19.23858578,0.086573636,0.090629269,0.030986951,0.059642318,0.028131062,6.79156572,15.19077349,0.010388836,0.375711547
1.22,0.24,5.1,0.0004,0.052,2.377,1.1,600,0.056415609,0.63439818,9.580853242,48.05723518,0.080095392,0.472323431,0.03464567,0.43767776,0.055271945,2.551728953,22.10877816,0.019222894,2.299404778
0.3,0.16,1.9,0.00135,0.025,1.58,0.51,118.5185185,0.154504728,0.63627193,1.622046671,10.57449414,0.089222294,0.047446633,0.040353311,0.007093321,0.032182857,12.00209863,43.44685658,0.014275567,0.259527467
1.22,0.24,5.1,0.0004,0.076,2.347,0.67,600,0.056415609,0.642507232,5.80886672,29.27122506,0.048785375,0.175228089,0.03464567,0.140582419,0.033665639,4.189405743,13.46625579,0.01170849,1.394128013
2.44,0.19,12.8,0.00047,0.052,1.823,0.44,404.2553191,0.066785464,0.654857492,3.209718744,17.77804817,0.043977277,0.071205379,0.032069345,0.039136034,0.023262712,7.177308559,10.93347457,0.008355683,0.609846561
0.76,0.12,6.3,0.0011,0.029,1.15,0.46,109.0909091,0.134889349,0.655636728,1.672615622,11.38456752,0.104358536,0.048635638,0.036746054,0.011889584,0.029412278,11.46539454,32.35350575,0.012523024,0.200713875
2.44,0.17,14.4,0.00047,0.079,1.625,0.55,361.7021277,0.066785464,0.657317848,4.023436748,22.55413286,0.062355544,0.114603245,0.032069345,0.0825339,0.029512255,5.657434851,13.87075993,0.010600442,0.683984247
0.76,0.128,5.9,0.00054,0.04,1.21,0.37,237.037037,0.076421583,0.664667537,2.355465721,14.39376672,0.060723703,0.05073073,0.030986951,0.019743778,0.021046866,9.07754879,11.36530785,0.007772634,0.301499612
2.44,0.2,12.2,0.00028,0.076,1.89,0.59,714.2857143,0.036942404,0.664887334,7.758858415,33.55293031,0.046974102,0.185883851,0.04559398,0.140289871,0.029010476,3.183539923,8.122933308,0.00939482,1.551771683
0.76,0.114,6.7,0.00054,0.053,1.05,0.38,211.1111111,0.076421583,0.682174405,2.419605697,15.03037186,0.071196498,0.055317385,0.030986951,0.024330434,0.021977724,8.693072989,11.86797081,0.008116401,0.275835049
0.76,0.12,6.3,0.00054,0.053,1.1,0.44,222.2222222,0.076421583,0.685438397,2.807675648,17.27546478,0.077739592,0.073077161,0.030986951,0.04209021,0.025260545,7.563334552,13.64069456,0.009328751,0.336921078
2.44,0.19,12.8,0.00047,0.091,1.74,0.52,404.2553191,0.066785464,0.686094947,3.801981371,21.01042056,0.051973146,0.099452141,0.032069345,0.067382796,0.027492296,6.073107242,12.92137904,0.009874898,0.72237646
2.44,0.32,7.6,0.00028,0.14,2.93,0.66,1142.857143,0.036942404,0.686218191,8.701238086,35.48369649,0.031048234,0.207892328,0.04559398,0.162298348,0.030679852,3.010314702,8.590358498,0.009935435,2.784396188
1,0.15,6.7,0.0008,0.068,1.37,0.53,187.5,0.106910212,0.687939997,2.430996078,15.57461925,0.083064636,0.075192548,0.032465344,0.042727204,0.031187991,8.569821893,24.95039302,0.012459695,0.364649412
2.44,0.18,13.6,0.00045,0.11,1.64,0.51,400,0.063899546,0.6896179,3.894018945,21.36572921,0.053414323,0.100195653,0.032620478,0.067575175,0.027001364,5.91632571,12.1506139,0.009614578,0.70092341
2.44,0.33,7.4,0.00028,0.094,2.99,0.73,1178.571429,0.036942404,0.693461924,9.639342142,39.10727036,0.033181926,0.252519987,0.04559398,0.206926007,0.03381286,2.731387085,9.467600774,0.010950036,3.180982907
0.76,0.177,4.3,0.0011,0.057,1.6,0.42,160.9090909,0.134889349,0.695077375,1.527396369,9.786596,0.060820653,0.035940562,0.036746054,0.000805492,0.025283884,13.33748306,27.81227213,0.010765256,0.270349157
0.5,0.25,2,0.00029,0.082,2.25,0.64,862.0689655,0.038635429,0.698131701,8.06550222,34.58926805,0.040123551,0.201747181,0.044194897,0.157552284,0.0264349,6.316031532,12.42440292,0.010030888,2.016375555
2.44,0.19,12.8,0.00047,0.061,1.71,0.5,404.2553191,0.066785464,0.698131701,3.653903604,20.20232747,0.049974178,0.091949095,0.032069345,0.05987975,0.030757975,3.140277283,8.919812891,0.009495094,0.694241685
2.44,0.25,9.8,0.00045,0.094,2.24,1.01,555.5555556,0.063899546,0.70124836,7.767685863,40.54940693,0.072988932,0.36089632,0.032620478,0.328275842,0.051245118,3.117348012,23.06030291,0.018247233,1.941921466
2.44,0.29,8.4,0.00027,0.122,2.59,0.64,1074.074074,0.035240343,0.703522679,8.834596957,35.68161146,0.033220811,0.205680496,0.047119159,0.158561337,0.029966322,2.93999568,8.090907043,0.009634035,2.562033118
0.76,0.12,6.3,0.0011,0.035,1.07,0.41,109.0909091,0.134889349,0.704656296,1.489639792,10.14711453,0.093015217,0.038637291,0.036746054,0.001891237,0.026215291,12.86361339,28.83682035,0.011161826,0.178756775
0.36,0.192,1.9,0.00053,0.057,1.71,0.68,362.2641509,0.075087776,0.705480456,4.439678788,25.32441975,0.06990595,0.155285341,0.031074975,0.124210367,0.036480281,5.145778364,19.33454894,0.013421942,0.852418327
2.44,0.19,12.8,0.00047,0.061,1.692,0.49,404.2553191,0.066785464,0.705558634,3.579867459,19.79828092,0.048974695,0.088307911,0.032069345,0.056238566,0.025906202,6.444930134,12.17591486,0.009305192,0.680174817
2.44,0.2,12.2,0.00028,0.061,1.77,0.58,714.2857143,0.036942404,0.709964441,7.625009302,32.98423658,0.046177931,0.179636103,0.04559398,0.134042123,0.028518773,3.238428543,7.985256472,0.009235586,1.52500186
2.44,0.19,12.8,0.00045,0.094,1.68,0.54,422.2222222,0.063899546,0.710598338,4.126491682,22.4617931,0.053198984,0.110739431,0.032620478,0.078118952,0.028386537,5.62762788,12.77394152,0.010107807,0.78403342
0.61,0.16,15.3,0.00033,0.046,1.4,0.72,484.8484848,0.045295113,0.718078321,7.761188285,37.69807833,0.077752287,0.258960021,0.039650623,0.219309398,0.037173062,3.046232308,12.26711059,0.012440366,1.241790126
2.44,0.19,12.8,0.00047,0.088,1.661,0.51,404.2553191,0.066785464,0.718726796,3.727941608,20.60637402,0.050973662,0.095663839,0.032069345,0.063594494,0.026963598,6.192187776,12.67289098,0.009684996,0.708308906
2.44,0.34,1.8,0.00027,0.134,2.96,0.65,1259.259259,0.035240343,0.721717231,8.976760701,35.57671707,0.028252099,0.204472982,0.047119159,0.157353823,0.029878229,2.948663962,8.067121943,0.009605714,3.052098638
0.76,0.11,6.9,0.0011,0.022,0.95,0.45,100,0.134889349,0.72752672,1.635720515,11.29416419,0.112941642,0.047866287,0.036746054,0.011120232,0.029178719,11.55716848,32.09659088,0.012423581,0.179929257
2.44,0.27,9,0.00028,0.082,2.32,0.66,964.2857143,0.036942404,0.731232773,8.699386569,36.19840622,0.037539088,0.21635137,0.04559398,0.17075739,0.031297803,2.950878349,8.763384802,0.010135554,2.348834374
2.44,0.16,15.3,0.00019,0.04,1.37,0.55,842.1052632,0.021523872,0.733802664,12.29364528,41.80843528,0.049647517,0.228699872,0.066036224,0.162663648,0.026507256,2.029998156,5.036378624,0.007943603,1.966983245
2.44,0.14,17.4,0.00093,0.037,1.19,0.57,150.5376344,0.119772555,0.739198271,2.336342371,15.3448189,0.10193344,0.079891254,0.034251084,0.04564017,0.0346614,8.638756283,32.23510215,0.014270682,0.327087932
2.44,0.33,7.4,0.00027,0.11,2.8,0.63,1222.222222,0.035240343,0.740518268,8.695617716,34.60074988,0.028309704,0.193408347,0.047119159,0.146289188,0.018117332,10.54536914,9.783359417,0.009342202,2.869553846
0.76,0.165,4.6,0.00054,0.044,1.4,0.33,305.5555556,0.076421583,0.740518268,2.097862004,12.39028411,0.040550021,0.037591073,0.030986951,0.006604122,0.029058587,3.031835549,7.845818601,0.006690753,0.346147231
0.76,0.107,7.1,0.00054,0.039,0.9,0.43,198.1481481,0.076421583,0.74700092,2.742467848,17.16533197,0.086628778,0.072148383,0.030986951,0.041161432,0.025099507,7.611860924,13.55373377,0.009269279,0.29344406
2.44,0.2,12.2,0.00047,0.104,1.676,0.48,425.5319149,0.066785464,0.74978345,3.506102786,19.26363338,0.045269538,0.083602845,0.032069345,0.0515335,0.025206611,6.623804284,11.84710738,0.009053908,0.701220557
0.61,0.16,3.8,0.00033,0.043,1.34,0.77,484.8484848,0.045295113,0.750231081,8.307166114,40.31600044,0.083151751,0.296175533,0.039650623,0.25652491,0.039754525,2.848425015,13.11899327,0.01330428,1.329146578
