Width,Depth,w_h,d50,H,L,U,D_d50,ws,KD,Lsat_D,Lsat_d50,Lsat_b_D,Th,Thc,DelTh,ust,P,Ret,Lsat_b,Lsat_s
2.44,0.2,12.2,0.00047,0.085,1.332,0.49,425.5319149,0.066785464,0.943421217,3.580141905,19.66495907,0.046212654,0.087122583,0.032069345,0.055053238,0.025731749,6.488624605,12.09392211,0.009242531,0.716028381
0.36,0.206,1.7,0.00053,0.069,1.35,0.67,388.6792453,0.075087776,0.958767536,4.374267086,24.71867288,0.063596586,0.147945498,0.031074975,0.116870524,0.035607692,5.271878951,18.87207665,0.013100897,0.90109902
0.61,0.27,2.3,0.00054,0.058,1.768,0.86,500,0.076421583,0.959536218,5.530378843,30.24543252,0.060490865,0.223996786,0.030986951,0.193009835,0.044225503,4.31999508,23.88177176,0.016332534,1.493202288
0.6,0.15,4,0.00043,0.0549,0.98,0.6,348.8372093,0.060952427,0.961712037,4.808863226,26.5480882,0.07610452,0.150533621,0.033309277,0.117224345,0.032352362,4.710044609,13.91151564,0.011415678,0.721329484
0.6,0.15,4,0.00043,0.0505,0.979,0.75,348.8372093,0.060952427,0.962694378,6.025714513,33.18511026,0.095130649,0.235208784,0.033309277,0.201899507,0.040440452,3.768035687,17.38939454,0.014269597,0.903857177
0.61,0.16,3.8,0.00033,0.037,1.04,0.67,484.8484848,0.045295113,0.966643893,7.215258205,35.08015622,0.072352822,0.224242194,0.039650623,0.184591571,0.0345916,3.273563077,11.41522791,0.011576452,1.154441313
0.36,0.219,1.6,0.000503,0.056,1.42,0.6,435.387674,0.071416346,0.969026466,4.112848104,22.73885448,0.052226684,0.121328796,0.031414705,0.089914091,0.031413834,5.68351075,15.80115858,0.011437644,0.900713735
2.44,0.23,10.6,0.00027,0.061,1.49,0.56,851.8518519,0.035240343,0.969887665,7.709261876,32.09219177,0.037673443,0.166380701,0.047119159,0.119261541,0.026951837,3.268825772,7.276995904,0.008664892,1.773130231
0.76,0.155,4.9,0.0011,0.046,1,0.5,140.9090909,0.134889349,0.973893723,1.819925879,11.88817538,0.084367696,0.053033703,0.036746054,0.016287649,0.03071336,10.97969656,33.78469582,0.013076993,0.282088511
0.61,0.2,12.2,0.00032,0.07,1.28,0.61,625,0.043648854,0.981747704,6.806920355,31.69586286,0.050713381,0.179713655,0.040646578,0.139067077,0.030494431,3.578428284,9.758218006,0.010142676,1.361384071
1.5,0.155,9.7,0.0021,0.018,0.99,0.63,73.80952381,0.201935551,0.983731033,1.535043888,9.913899727,0.134317351,0.054363393,0.049920368,0.004443025,0.042965308,11.74991859,90.22714776,0.020819189,0.237931803
2.44,0.21,11.6,0.00045,0.061,1.34,0.43,466.6666667,0.063899546,0.984678294,3.2758409,17.65404111,0.037830088,0.068407183,0.032620478,0.035786705,0.022310645,7.160208378,10.03979013,0.007944318,0.687926589
0.61,0.22,2.8,0.00054,0.107,1.402,0.53,407.4074074,0.076421583,0.985949192,3.392822495,19.14365817,0.046988979,0.089737104,0.030986951,0.058750153,0.027992257,6.82524304,15.11581871,0.010337575,0.746420949
0.61,0.22,11.1,0.00032,0.055,1.4,0.57,687.5,0.043648854,0.987357691,6.354553306,29.26880738,0.042572811,0.15324488,0.040646578,0.112598302,0.028159373,3.875162068,9.010999461,0.009366018,1.398001727
2.44,0.25,9.8,0.00047,0.098,1.588,0.53,531.9148936,0.066785464,0.989166453,3.87755496,20.66487855,0.038849972,0.096207817,0.032069345,0.064138472,0.027040151,6.174657013,12.70887119,0.009712493,0.96938874
2.7,0.21,12.9,0.00081,0.076,1.33,0.5,259.2592593,0.107946898,0.992081891,2.271802964,13.88577803,0.05355943,0.06021676,0.03259338,0.027623379,0.028083822,9.609348978,22.74789573,0.01124748,0.477078622
0.6,0.15,4,0.00043,0.0497,0.945,0.75,348.8372093,0.060952427,0.997331001,6.025714513,33.18511026,0.095130649,0.235208784,0.033309277,0.201899507,0.040440452,3.768035687,17.38939454,0.014269597,0.903857177
2.44,0.17,14.4,0.00093,0.04,1.07,0.62,182.7956989,0.119772555,0.998263086,2.543444036,16.21232751,0.088690968,0.089179789,0.034251084,0.054928705,0.036620958,8.176503377,34.05749113,0.015077465,0.432385486
2.44,0.28,8.7,0.00047,0.131,1.762,0.65,595.7446809,0.066785464,0.998463045,4.767195187,24.98259965,0.041935078,0.140611197,0.032069345,0.108541852,0.032689923,5.107496381,15.36426358,0.011741822,1.334814652
2.44,0.2,12.2,0.00047,0.085,1.256,0.49,425.5319149,0.066785464,1.000507215,3.580141905,19.66495907,0.046212654,0.087122583,0.032069345,0.055053238,0.025731749,6.488624605,12.09392211,0.009242531,0.716028381
1,0.153,6.5,0.0005,0.036,0.954,0.454,306,0.071001967,1.007680662,3.117920958,18.12489717,0.05923169,0.076810225,0.031462566,0.045347659,0.024920086,7.122965822,12.46004283,0.009062449,0.477041907
1.5,0.201,7.5,0.00077,0.069,1.25,0.488,261.038961,0.103748114,1.010336197,2.30562085,14.0993301,0.054012359,0.060225072,0.032095936,0.028129136,0.027383505,9.471770876,21.08529881,0.010856484,0.463429791
2.717,0.19,14.3,0.00081,0.067,1.18,0.84,234.5679012,0.107946898,1.011699329,3.82839417,23.66062476,0.100868979,0.174835395,0.03259338,0.142242015,0.047853334,5.639465918,38.7612004,0.019165106,0.727394892
2.44,0.29,8.4,0.00047,0.082,1.8,0.62,617.0212766,0.066785464,1.012290966,4.5451317,23.72488127,0.03845067,0.126809778,0.032069345,0.094740433,0.031044188,5.378258202,14.59076854,0.011150694,1.318088193
2.44,0.31,7.9,0.00093,0.091,1.92,0.85,333.3333333,0.119772555,1.014472628,3.495731446,20.41545439,0.061246363,0.141414455,0.034251084,0.107163371,0.046115125,6.493127614,42.88706581,0.018986373,1.083676748
0.6,0.15,4,0.00043,0.0481,0.92,0.6,348.8372093,0.060952427,1.024432387,4.808863226,26.5480882,0.07610452,0.150533621,0.033309277,0.117224345,0.032352362,4.710044609,13.91151564,0.011415678,0.721329484
0.6,0.15,4,0.00043,0.0475,0.92,0.6,348.8372093,0.060952427,1.024432387,4.808863226,26.5480882,0.07610452,0.150533621,0.033309277,0.117224345,0.032352362,4.710044609,13.91151564,0.011415678,0.721329484
0.61,0.25,2.4,0.00054,0.079,1.524,0.59,462.962963,0.076421583,1.030706251,3.781825564,20.9571297,0.0452674,0.107543902,0.030986951,0.076556951,0.030643953,6.234638118,16.54773453,0.01131685,0.945456391
1.22,0.24,5.1,0.0004,0.061,1.463,0.95,600,0.056415609,1.030734432,8.26491713,41.50397583,0.069173293,0.352290823,0.03464567,0.317645153,0.047734862,2.954633524,19.09394478,0.01660159,1.983580111
2.44,0.27,9,0.00047,0.079,1.634,0.64,574.4680851,0.066785464,1.038225234,4.692874917,24.71124465,0.04301587,0.137573215,0.032069345,0.105503871,0.032334852,5.163581969,15.19738063,0.011614285,1.267076228
2.44,0.21,11.6,0.00045,0.046,1.26,0.44,466.6666667,0.063899546,1.047197551,3.353214747,18.06460021,0.038709858,0.07162591,0.032620478,0.039005431,0.022829497,6.997476369,10.27327362,0.00812907,0.704175097
1,0.151,6.6,0.00055,0.0448,0.906,0.433,274.5454545,0.077741672,1.047197551,2.717151673,16.2594678,0.059223227,0.065450987,0.03091715,0.034533837,0.024126507,8.055628501,13.26957898,0.008942707,0.410289903
2.44,0.27,9,0.00047,0.088,1.615,0.65,574.4680851,0.066785464,1.050439649,4.766964283,25.09735785,0.043687993,0.141905966,0.032069345,0.109836621,0.032840084,5.084142246,15.43483971,0.011795758,1.287080356
0.61,0.22,2.8,0.00054,0.052,1.311,1.02,407.4074074,0.076421583,1.05438655,6.564580932,36.84251194,0.09043162,0.33236911,0.030986951,0.301382159,0.053871891,3.546449815,29.09082092,0.019894956,1.444207805
0.61,0.17,14.4,0.00032,0.034,1.01,0.43,531.25,0.043648854,1.057565844,4.766906295,22.80620572,0.042929328,0.093042634,0.040646578,0.052396055,0.021941737,4.973267957,7.021355698,0.007297986,0.81037407
2.44,0.17,14.4,0.00093,0.024,1.01,0.56,182.7956989,0.119772555,1.057565844,2.29591365,14.64339259,0.080107971,0.072754375,0.034251084,0.038503291,0.033076995,9.05255731,30.7616049,0.013618355,0.390305321
0.6,0.15,4,0.00043,0.0564,0.89,0.75,348.8372093,0.060952427,1.058963816,6.025714513,33.18511026,0.095130649,0.235208784,0.033309277,0.201899507,0.040440452,3.768035687,17.38939454,0.014269597,0.903857177
2.44,0.34,7.2,0.00093,0.104,2.01,0.78,365.5913978,0.119772555,1.062827365,3.207087908,18.50236838,0.050609419,0.116152978,0.034251084,0.081901894,0.041793781,7.164496347,38.86821596,0.017207203,1.090409889
2.44,0.32,7.6,0.00028,0.082,1.89,0.57,1142.857143,0.036942404,1.063819735,7.495884923,30.6450106,0.026814384,0.155060187,0.04559398,0.109466207,0.026496236,3.485627549,7.418945976,0.008580603,2.398683175
2.44,0.31,7.9,0.00027,0.085,1.83,0.58,1148.148148,0.035240343,1.064364724,7.993044624,32.08597729,0.027945851,0.166316269,0.047119159,0.11919711,0.026946618,3.269458885,7.275586752,0.008663214,2.477843833
2.44,0.28,8.7,0.00019,0.055,1.65,0.61,1473.684211,0.021523872,1.066237507,13.68122645,43.44031729,0.029477358,0.246901694,0.066036224,0.180865471,0.027541897,1.953739103,5.23296038,0.00825366,3.830743406
0.61,0.22,2.8,0.00054,0.055,1.28,0.89,407.4074074,0.076421583,1.079922475,5.723012592,32.14689767,0.078906022,0.253046494,0.030986951,0.222059543,0.047005865,4.064470575,25.38316728,0.017359325,1.25906277
2.44,0.27,9,0.00047,0.088,1.561,0.67,574.4680851,0.066785464,1.086777728,4.915145735,25.86958424,0.045032239,0.150772989,0.032069345,0.118703644,0.033850549,4.932376806,15.90975785,0.012158705,1.327089348
1.22,0.24,5.1,0.0004,0.067,1.372,0.53,600,0.056415609,1.099099471,4.581195806,23.15484968,0.038591416,0.109649299,0.03464567,0.075003629,0.026631028,5.296041223,10.6524113,0.00926194,1.099486993
0.76,0.14,5.4,0.0011,0.036,0.8,0.48,127.2727273,0.134889349,1.099557429,1.746351632,11.59386562,0.091094658,0.050440347,0.036746054,0.013694293,0.029953004,11.25841567,32.94830457,0.012753252,0.244489228
2.44,0.28,8.7,0.00093,0.085,1.59,0.67,301.0752688,0.119772555,1.106472884,2.751975918,16.31744506,0.054197228,0.090339986,0.034251084,0.056088903,0.036858401,8.123830057,34.27831322,0.015175224,0.770553257
0.61,0.15,4.1,0.00033,0.018,0.85,0.53,454.5454545,0.045295113,1.108797407,5.686456165,27.98307866,0.061562773,0.142687288,0.039650623,0.103036665,0.027593362,4.103805215,9.105809522,0.009234416,0.852968425
1,0.152,6.6,0.0005,0.042,0.86,0.47,304,0.071001967,1.110516473,3.229266538,18.78055957,0.061778156,0.082467911,0.031462566,0.051005345,0.025821562,6.874290545,12.91078093,0.00939028,0.490848514
0.61,0.23,2.7,0.00054,0.049,1.28,0.79,425.9259259,0.076421583,1.12900986,5.07599997,28.36838234,0.066604028,0.197056757,0.030986951,0.166069806,0.041480841,4.605836107,22.39965428,0.015318926,1.167479993
2.44,0.28,2.2,0.00027,0.052,1.55,0.56,1037.037037,0.035240343,1.135027023,7.711305975,31.35018554,0.030230536,0.158775841,0.047119159,0.111656682,0.026328681,3.346193387,7.108743877,0.00846455,2.159165673
2.44,0.32,7.6,0.00093,0.094,1.77,0.82,344.0860215,0.119772555,1.135943106,3.371998672,19.61046311,0.056992908,0.130482239,0.034251084,0.096231156,0.044296783,6.759664468,41.19600797,0.018237731,1.079039575
0.61,0.16,3.8,0.00035,0.041,0.88,0.49,457.1428571,0.04854633,1.142397329,4.903583194,24.6632582,0.053950877,0.114822675,0.037896053,0.076926622,0.029799803,10.04809961,27.71381674,0.00863214,0.784573311
2.44,0.16,15.3,0.00093,0.006,0.88,0.5,172.0430108,0.119772555,1.142397329,2.048167727,13.19255937,0.076681751,0.059051892,0.034251084,0.024800808,0.032779783,9.134636013,30.48519841,0.01226908,0.327706836
2.44,0.16,15.3,0.00093,0.018,0.88,0.55,172.0430108,0.119772555,1.142397329,2.25441507,14.5118153,0.084349926,0.071452789,0.034251084,0.037201706,0.025491938,4.760949248,8.922178461,0.013495988,0.360706411
0.3,0.16,1.9,0.00135,0.013,0.88,0.57,118.5185185,0.154504728,1.142397329,1.813789191,11.81855227,0.099719035,0.059267247,0.040353311,0.018913936,0.035969075,10.73871983,48.55825147,0.015955046,0.290206271
0.6,0.15,4,0.00043,0.0458,0.824,0.5,348.8372093,0.060952427,1.143783733,3.997798235,22.12340684,0.063420433,0.104537237,0.033309277,0.07122796,0.026960302,5.652053531,11.5929297,0.009513065,0.599669735
2.44,0.41,6,0.00047,0.107,2.219,0.61,872.3404255,0.066785464,1.160931039,4.473005227,22.37246012,0.025646479,0.112764431,0.032069345,0.080695086,0.029274535,5.703375337,13.75903144,0.010515056,1.833932143
2.44,0.27,9,0.00093,0.07,1.46,0.95,290.3225806,0.119772555,1.161958927,3.907890741,23.25298006,0.080093598,0.183456431,0.034251084,0.149205347,0.052524624,5.700781161,48.84790056,0.021625271,1.0551305
2.44,0.34,7.2,0.00047,0.125,1.823,0.5,723.4042553,0.066785464,1.171850249,3.656878518,18.75944148,0.025932169,0.0792838,0.032069345,0.047214455,0.024546872,6.801830289,11.53703007,0.008816937,1.243338696
1.5,0.1,15,0.00082,0.037,0.533,0.475,121.9512195,0.108975174,1.178834016,2.134262288,14.60989711,0.119801156,0.067153485,0.032723529,0.034429957,0.029839821,9.130012336,24.46865333,0.011980116,0.213426229
0.3,0.16,1.9,0.00135,0.019,0.85,0.53,118.5185185,0.154504728,1.182717234,1.685960538,10.98918018,0.092721208,0.051240904,0.040353311,0.010887592,0.03344493,11.54918925,45.15065488,0.014835393,0.269753686
0.6,0.15,4,0.00043,0.0432,0.794,0.5,348.8372093,0.060952427,1.186999743,3.997798235,22.12340684,0.063420433,0.104537237,0.033309277,0.07122796,0.026960302,5.652053531,11.5929297,0.009513065,0.599669735
0.61,0.26,2.3,0.00054,0.073,1.341,0.69,481.4814815,0.076421583,1.218216391,4.429422748,24.38500004,0.050645769,0.145602124,0.030986951,0.114615173,0.035656256,5.358216914,19.25437849,0.0131679,1.151649914
1.5,0.26,5.8,0.0013,0.057,1.34,0.7,200,0.150787733,1.219125507,2.286090746,13.81824771,0.069091239,0.079205965,0.039646905,0.039559061,0.040804272,9.238477168,53.04555336,0.017963722,0.594383594
1.5,0.1,15,0.00082,0.0302,0.5146,0.752,121.9512195,0.108975174,1.220984319,3.389288175,23.12977395,0.189664146,0.168312752,0.032723529,0.135589223,0.047241148,5.766962579,38.73774169,0.018966415,0.338928818
2.44,0.37,6.6,0.00047,0.098,1.902,0.47,787.2340426,0.066785464,1.222281053,3.434997979,17.45274867,0.022169708,0.068623413,0.032069345,0.036554068,0.022837055,7.311085473,10.73341584,0.008202792,1.270949252
0.6,0.19,3.2,0.00043,0.0645,0.965,0.5,441.8604651,0.060952427,1.237103843,3.999244227,21.44020269,0.048522564,0.098180396,0.033309277,0.064871119,0.026127727,5.832159403,11.23492256,0.009219287,0.759856403
2.44,0.29,8.4,0.00045,0.094,1.47,0.48,644.4444444,0.063899546,1.239539959,3.664405413,18.91490868,0.02935072,0.07852753,0.032620478,0.045907052,0.023904091,6.68290898,10.75684102,0.008511709,1.06267757
0.6,0.15,4,0.00043,0.0475,0.76,0.6,348.8372093,0.060952427,1.240102363,4.808863226,26.5480882,0.07610452,0.150533621,0.033309277,0.117224345,0.032352362,4.710044609,13.91151564,0.011415678,0.721329484
0.3,0.15,2,0.00135,0.019,0.76,0.58,111.1111111,0.154504728,1.240102363,1.845505442,12.14959689,0.109346372,0.062633969,0.040353311,0.022280657,0.03697659,10.44611791,49.91839673,0.016401956,0.276825816
0.36,0.224,1.6,0.0005,0.061,1.13,0.59,448,0.071001967,1.245516379,4.067095552,22.38347236,0.049963108,0.117144757,0.031462566,0.085682191,0.030775239,5.767783523,15.38761968,0.011191736,0.911029404
0.44,0.1,4.4,0.00074,0.0165,0.5,0.432,135.1351351,0.100504488,1.256637061,2.101295691,14.19571078,0.10504826,0.059612763,0.031753541,0.027859222,0.026707946,9.407732665,19.76388028,0.010504826,0.210129569
0.6,0.15,4,0.00043,0.0502,0.74,0.5,348.8372093,0.060952427,1.273618643,3.997798235,22.12340684,0.063420433,0.104537237,0.033309277,0.07122796,0.026960302,5.652053531,11.5929297,0.009513065,0.599669735
0.6,0.174,3.4,0.00036,0.0326,0.841,0.649,483.3333333,0.050150352,1.299969374,6.317140219,31.70852557,0.065603846,0.193027653,0.037125741,0.155901912,0.033520927,3.740227089,12.06753385,0.011415069,1.099182398
1.5,0.301,5,0.00077,0.087,1.45,0.588,390.9090909,0.103748114,1.304302605,2.783833925,16.07777043,0.04112918,0.078312667,0.032095936,0.046216731,0.031226002,8.306227829,24.04402134,0.012379883,0.837934011
0.6,0.15,4,0.00043,0.0497,0.718,0.5,348.8372093,0.060952427,1.31264317,3.997798235,22.12340684,0.063420433,0.104537237,0.033309277,0.07122796,0.026960302,5.652053531,11.5929297,0.009513065,0.599669735
0.44,0.145,3,0.00074,0.0286,0.6904,0.728,195.9459459,0.100504488,1.319614527,3.558064747,22.6231791,0.115456224,0.151402216,0.031753541,0.119648675,0.042563466,5.903213313,31.49696483,0.016741153,0.515919388
0.6,0.15,4,0.00043,0.0531,0.71,0.5,348.8372093,0.060952427,1.327433516,3.997798235,22.12340684,0.063420433,0.104537237,0.033309277,0.07122796,0.026960302,5.652053531,11.5929297,0.009513065,0.599669735
2.44,0.18,13.6,0.00093,0.009,0.85,0.49,193.5483871,0.119772555,1.330556889,2.007339264,12.70572828,0.065646263,0.054774047,0.034251084,0.020522963,0.028700132,10.43310133,26.69112304,0.011816327,0.361321068
1.5,0.301,5,0.00077,0.086,1.41,0.588,390.9090909,0.103748114,1.341304097,2.783833925,16.07777043,0.04112918,0.078312667,0.032095936,0.046216731,0.031226002,8.306227829,24.04402134,0.012379883,0.837934011
1.5,0.245,6.1,0.0013,0.038,1.13,0.69,188.4615385,0.150787733,1.36228354,2.253083414,13.73982762,0.072905208,0.078309511,0.039646905,0.038662606,0.040572703,9.291205796,52.74451393,0.017861776,0.552005436
1.5,0.389,3.9,0.0021,0.122,1.79,0.69,185.2380952,0.201935551,1.365452003,1.684724524,9.385627952,0.050667914,0.04872414,0.049920368,0.001196228,0.04067586,12.41126489,85.41930656,0.019709819,0.65535784
0.61,0.22,2.8,0.00054,0.052,1.006,0.81,407.4074074,0.076421583,1.374056429,5.205143871,29.25728889,0.071813345,0.209599551,0.030986951,0.1786126,0.042780619,4.465899767,23.10153426,0.015798936,1.145131652
0.61,0.24,2.5,0.00054,0.07,1.097,0.77,444.4444444,0.076421583,1.374625774,4.946825225,27.49657931,0.061867303,0.185131162,0.030986951,0.154144211,0.040206073,4.751868157,21.71127924,0.014848153,1.187238054
0.61,0.27,2.3,0.00054,0.061,1.219,0.84,500,0.076421583,1.391681733,5.400876379,29.54205037,0.059084101,0.213699476,0.030986951,0.182712525,0.043197003,4.422852105,23.32638172,0.015952707,1.458236622
0.6,0.174,3.4,0.00036,0.0324,0.78,0.634,483.3333333,0.050150352,1.401633645,6.169216354,30.97566289,0.064087578,0.18420807,0.037125741,0.147082329,0.032746176,3.828718266,11.78862321,0.011151239,1.073443646
0.3,0.15,2,0.00135,0.051,0.67,0.66,111.1111111,0.154504728,1.406683278,2.101133077,13.82540336,0.12442863,0.081103914,0.040353311,0.040750603,0.04207681,9.179921798,56.80369283,0.018664295,0.315169962
0.61,0.26,2.3,0.00054,0.061,1.158,0.71,481.4814815,0.076421583,1.410732452,4.55890763,25.09181163,0.052113763,0.154165156,0.030986951,0.123178205,0.036689771,5.207281227,19.81247641,0.013549578,1.185315984
0.61,0.16,15.3,0.00033,0.015,0.7,0.41,484.8484848,0.045295113,1.436156642,4.377793869,21.46696127,0.044275608,0.083972183,0.039650623,0.04432156,0.021167994,5.349481127,6.985437975,0.007084097,0.700447019
0.61,0.28,2.2,0.00054,0.091,1.219,0.73,518.5185185,0.076421583,1.443225501,4.68886713,25.55397055,0.049282657,0.159896504,0.030986951,0.128909553,0.03736555,5.113104417,20.17739676,0.013799144,1.312882796
1.5,0.354,4.2,0.0013,0.066,1.53,0.79,272.3076923,0.150787733,1.4537566,2.582383409,14.92369584,0.054804533,0.092385693,0.039646905,0.052738788,0.044068579,8.554152228,57.28915274,0.019400805,0.914163727
1.5,0.32,4.7,0.0021,0.049,1.38,0.83,152.3809524,0.201935551,1.456970506,2.026630999,11.62446926,0.07628558,0.074741839,0.049920368,0.024821471,0.050378652,10.02088887,105.7951699,0.024411385,0.64852192
2.44,0.13,4.7,0.00028,0.018,0.55,0.48,464.2857143,0.036942404,1.485116527,6.282699671,28.82363498,0.062081675,0.137176036,0.04559398,0.091582056,0.024921441,3.705885578,6.978003485,0.008070618,0.816750957
0.61,0.26,2.3,0.00054,0.061,1.097,0.7,481.4814815,0.076421583,1.489177921,4.494164942,24.73840584,0.051379766,0.149853057,0.030986951,0.118866106,0.036173014,5.281670958,19.53342745,0.013358739,1.168482885
2.44,0.29,2.1,0.00019,0.03,1.22,0.55,1526.315789,0.021523872,1.493544048,12.30454563,39.01296922,0.025560221,0.1991389,0.066036224,0.133102676,0.024734883,2.175457244,4.699627788,0.007412464,3.568318233
0.44,0.135,3.3,0.00074,0.0247,0.5584,0.492,182.4324324,0.100504488,1.519036562,2.397419284,15.45067136,0.084692569,0.070618693,0.031753541,0.038865152,0.029069041,8.643601882,21.51109047,0.011433497,0.323651603
0.44,0.11,4,0.00044,0.0239,0.4543,0.457,250,0.06243369,1.521352375,3.561813069,20.78575421,0.083143017,0.093559763,0.032946469,0.060613294,0.025800368,6.049689796,11.35216204,0.009145732,0.391799438
0.6,0.17,3.5,0.00036,0.0306,0.696,0.591,472.2222222,0.050150352,1.534686066,5.745000224,28.96176346,0.061330793,0.161033947,0.037125741,0.123908206,0.030617165,4.094953903,11.02217951,0.010426235,0.976650038
1.5,0.193,7.8,0.0013,0.017,0.79,0.59,148.4615385,0.150787733,1.535006031,1.924522316,12.17554595,0.082011449,0.061493446,0.039646905,0.021846541,0.035953494,10.48491513,46.73954222,0.01582821,0.371432807
0.61,0.27,2.3,0.00054,0.058,1.097,0.66,500,0.076421583,1.546453995,4.235419126,23.211611,0.046423222,0.131926717,0.030986951,0.100939766,0.033940502,5.629084498,18.32787135,0.01253427,1.143563164
1.5,0.302,5,0.00077,0.077,1.2,0.586,392.2077922,0.103748114,1.581268302,2.774311117,16.01603157,0.040835577,0.077712378,0.032095936,0.045616442,0.031106093,8.338246811,23.95169197,0.012332344,0.837841957
2.7,0.34,7.9,0.00081,0.083,1.35,0.4,419.7530864,0.107946898,1.582431855,1.815207943,10.40465126,0.024787552,0.033808975,0.03259338,0.001215595,0.021043284,12.8243882,17.04506017,0.008427768,0.617170701
1.5,0.405,3.7,0.00077,0.104,1.59,0.659,525.974026,0.103748114,1.600433993,3.123649346,17.33607249,0.03295994,0.091050387,0.032095936,0.058954451,0.033669857,7.703337895,25.92578982,0.013348776,1.265077985
1.5,0.154,9.7,0.0021,0.017,0.6,0.64,73.33333333,0.201935551,1.612684229,1.559447594,10.0823896,0.137487131,0.056226941,0.049920368,0.006306573,0.043695517,11.55356214,91.76058673,0.021173018,0.240154929
0.44,0.12,3.7,0.00044,0.0228,0.4668,0.596,272.7272727,0.06243369,1.615214732,4.662558882,26.77903103,0.09818978,0.155291346,0.032946469,0.122344878,0.033239538,4.695739924,14.62539662,0.011782774,0.559507066
0.3,0.16,1.9,0.00135,0.051,0.61,0.62,118.5185185,0.154504728,1.648048605,1.97357643,12.85526738,0.108466319,0.070121052,0.040353311,0.02976774,0.039124257,9.872694037,52.81774722,0.017354611,0.315772229
0.6,0.2,3,0.00043,0.0581,0.728,0.5,465.1162791,0.060952427,1.72614981,3.99954703,21.29749064,0.045789605,0.096877713,0.033309277,0.063568436,0.025953813,5.871240038,11.16013973,0.009157921,0.799909406
1.5,0.17,8.8,0.00082,0.0361,0.6162,0.465,207.3170732,0.108975174,1.733433142,2.091029591,13.20210857,0.063680759,0.054835378,0.032723529,0.022111849,0.026964499,10.10357854,22.1108893,0.010825729,0.35547503
1.5,0.17,8.8,0.00082,0.0425,0.6068,0.806,207.3170732,0.108975174,1.76028593,3.637508705,22.88365485,0.110379982,0.164749848,0.032723529,0.132026319,0.046738465,5.82898762,38.32554146,0.018764597,0.61837648
2.44,0.3,2,0.00093,0.055,1.07,0.64,322.5806452,0.119772555,1.76164074,2.628383705,15.44030504,0.047864946,0.080888625,0.034251084,0.046637542,0.034877088,8.585332369,32.4356914,0.014359484,0.788515112
2.44,0.32,7.6,0.00093,0.015,1.13,0.53,344.0860215,0.119772555,1.779309114,2.174380254,12.67505542,0.03683688,0.054509906,0.034251084,0.020258823,0.028630847,10.4583488,26.62668808,0.011787802,0.695801681
2.44,0.32,7.6,0.00093,0.049,1.1,0.62,344.0860215,0.119772555,1.827835726,2.546042713,14.82742333,0.043092199,0.074594546,0.034251084,0.040343462,0.033492689,8.940201393,31.14820115,0.013789504,0.814733668
0.3,0.16,1.9,0.00135,0.051,0.55,0.79,118.5185185,0.154504728,1.827835726,2.516861029,16.38009876,0.138207083,0.11384638,0.040353311,0.073493069,0.049851876,7.748190257,67.30003274,0.022113133,0.402697765
2.44,0.16,15.3,0.00019,0.012,0.52,0.51,842.1052632,0.021523872,1.933287787,11.37631698,38.76782181,0.046036788,0.196644088,0.066036224,0.130607865,0.024579455,2.189213697,4.670096542,0.007365886,1.820210717
1.5,0.17,8.8,0.00082,0.0398,0.5435,0.686,207.3170732,0.108975174,1.965301752,3.093268494,19.47665909,0.093946238,0.119344709,0.032723529,0.08662118,0.039779885,6.848635601,32.61950551,0.01597086,0.525855644
0.6,0.152,3.9,0.00036,0.0248,0.456,0.601,422.2222222,0.050150352,2.094395102,5.842635048,29.88499208,0.070780244,0.171464305,0.037125741,0.134338564,0.031593164,3.968449648,11.37353904,0.010758597,0.888080527
0.61,0.18,13.6,0.00032,0.03,0.49,0.49,562.5,0.043648854,2.308108888,5.446654534,25.80034127,0.045867273,0.119076708,0.040646578,0.07843013,0.024822379,4.396119065,7.943161409,0.008256109,0.980397816
1,0.153,6.5,0.0005,0.022,0.383,0.399,306,0.071001967,2.509993086,2.735095538,15.92914971,0.052056045,0.0593271,0.031462566,0.027864535,0.021901133,8.104828278,10.95056628,0.007964575,0.418469617
2.44,0.32,1.9,0.00093,0.027,0.79,0.59,344.0860215,0.119772555,2.545087719,2.422153542,14.10996736,0.041007093,0.067550368,0.034251084,0.033299284,0.031872075,9.394787905,29.64103012,0.01312227,0.775089133
2.44,0.19,12.8,0.00028,0.021,0.46,0.53,678.5714286,0.036942404,2.595228714,6.955342754,30.33201937,0.044699818,0.151908964,0.04559398,0.106314984,0.026225618,3.521595179,7.343172956,0.008492965,1.321515123
0.9,0.217,4.1,0.0008,0.028,0.48,0.8,271.25,0.106910212,2.840523358,3.68118597,22.29758083,0.082203063,0.154118729,0.032465344,0.121653385,0.044650643,5.985927981,35.72051402,0.017838065,0.798817355
0.9,0.186,4.8,0.0008,0.024,0.39,0.7,232.5,0.106910212,2.99659607,3.217895798,19.93925968,0.085760257,0.123241786,0.032465344,0.090776442,0.039928132,6.693915176,31.9425058,0.015951408,0.598528618
2.44,0.31,7.9,0.00093,0.012,0.64,0.51,333.3333333,0.119772555,3.043417883,2.091691839,12.24927264,0.036747818,0.050909204,0.034251084,0.01665812,0.027669075,10.82187936,25.73223948,0.011391824,0.64842447
